 --------~Onbekend
 00140000~Groningen;Binnenstad-Noord
 00140001~Groningen;Binnenstad-Zuid
 00140002~Groningen;Binnenstad-Oost
 00140003~Groningen;Binnenstad-West
 00140004~Groningen;Noorderplantsoen
 00140005~Groningen;Hortusbuurt-Ebbingekwartier
 00140007~Groningen;UMCG
 00140008~Groningen;Stationsgebied
 00140100~Groningen;De Meeuwen
 00140101~Groningen;Oosterpoort
 00140102~Groningen;Herewegbuurt
 00140103~Groningen;Rivierenbuurt
 00140104~Groningen;Grunobuurt
 00140105~Groningen;Badstratenbuurt
 00140106~Groningen;Zeeheldenbuurt
 00140107~Groningen;Laanhuizen
 00140108~Groningen;Stadspark
 00140109~Groningen;Martini Trade Park
 00140110~Groningen;Peizerweg
 00140200~Groningen;Oranjebuurt
 00140201~Groningen;Noorderplantsoenbuurt
 00140202~Groningen;Schildersbuurt
 00140203~Groningen;Kostverloren
 00140301~Groningen;Indische buurt
 00140302~Groningen;Professorenbuurt
 00140303~Groningen;De Hoogte
 00140304~Groningen;Bedrijventerrein De Hoogte
 00140400~Groningen;Gorechtbuurt
 00140401~Groningen;Vogelbuurt
 00140402~Groningen;Bloemenbuurt
 00140403~Groningen;Florabuurt
 00140404~Groningen;Damsterbuurt
 00140500~Groningen;De Linie
 00140501~Groningen;Europapark
 00140503~Groningen;Kop van Oost
 00140504~Groningen;Woonschepenhaven
 00140505~Groningen;Driebond
 00140506~Groningen;Eemspoort
 00140507~Groningen;Euvelgunne
 00140508~Groningen;Winschoterdiep
 00140509~Groningen;Stainkoel'n
 00140510~Groningen;Roodehaan
 00140511~Groningen;Waterhuizen
 00140512~Groningen;Eemskanaal-Noord
 00140513~Groningen;Eemskanaal-Zuid
 00140600~Groningen;Sterrebosbuurt
 00140601~Groningen;Coendersborg
 00140602~Groningen;Klein Martijn
 00140603~Groningen;Villabuurt
 00140604~Groningen;Helpman
 00140605~Groningen;De Wijert
 00140606~Groningen;De Wijert-Zuid
 00140700~Groningen;Corpus den Hoorn
 00140701~Groningen;Hoornse Meer
 00140702~Groningen;Hoornse Park
 00140703~Groningen;Van Swieten
 00140704~Groningen;Piccardthof
 00140705~Groningen;Bruilweering
 00140800~Groningen;Hoogkerk Dorp
 00140801~Groningen;Hoogkerk-Zuid
 00140802~Groningen;Westpoort
 00140803~Groningen;Vierverlaten
 00140804~Groningen;Zuidwending
 00140805~Groningen;Leegkerk
 00140806~Groningen;Gravenburg
 00140809~Groningen;Bangeweer
 00140810~Groningen;De Buitenhof
 00140811~Groningen;Kranenburg
 00140812~Groningen;De Kring
 00140900~Groningen;Vinkhuizen-Noord
 00140901~Groningen;Vinkhuizen-Zuid
 00140902~Groningen;Hoendiep
 00140903~Groningen;Reitdiepswaard
 00140904~Groningen;Reitdiep
 00140905~Groningen;Dorkwerd
 00140906~Groningen;De Held
 00140907~Groningen;Westpark
 00140908~Groningen;De Suikerzijde-Noord
 00140909~Groningen;De Suikerzijde-Zuid
 00140910~Groningen;De Nieuwe Held
 00141000~Groningen;Selwerd
 00141001~Groningen;Paddepoel-Zuid
 00141002~Groningen;Paddepoel-Noord
 00141003~Groningen;Zernike Campus
 00141004~Groningen;Selwerderhof
 00141005~Groningen;Tuinwijk
 00141100~Groningen;Beijum-West
 00141101~Groningen;Beijum-Oost
 00141102~Groningen;De Hunze
 00141103~Groningen;Van Starkenborgh
 00141104~Groningen;Noorderhoogebrug
 00141105~Groningen;Het Witte Lam
 00141106~Groningen;Koningslaagte
 00141107~Groningen;Hunzeboord
 00141200~Groningen;Lewenborg-Noord
 00141201~Groningen;Lewenborg-Zuid
 00141202~Groningen;Lewenborg-West
 00141205~Groningen;Hunzepark
 00141206~Groningen;Zilvermeer
 00141207~Groningen;Kardinge
 00141208~Groningen;Drielanden
 00141209~Groningen;Noorddijk
 00141210~Groningen;Ruischerbrug
 00141211~Groningen;Ruischerwaard
 00141212~Groningen;Bedrijventerrein Oosterhoogebrug
 00141213~Groningen;Oosterhoogebrug
 00141214~Groningen;Ulgersmaborg
 00141215~Groningen;Bedrijventerrein Ulgersmaborg-Zuid
 00141216~Groningen;Bedrijventerrein Ulgersmaborg-Noord
 00141217~Groningen;Bedrijventerrein Ulgersmaweg
 00141301~Groningen;Engelbert
 00141302~Groningen;Klein Harkstede
 00141303~Groningen;Lintweide
 00141304~Groningen;Middelbert
 00141305~Groningen;De Eems
 00141400~Groningen;Meeroevers
 00141401~Groningen;Harkstede GN
 00141402~Groningen;Lageland GN
 00141403~Groningen;Groenewei
 00141404~Groningen;Tersluis
 00141405~Groningen;De Zeilen
 00141406~Groningen;De Wierden
 00141500~Groningen;Ten Boer Dorp
 00141501~Groningen;Buitengebied Ten Boer-Zuid
 00141502~Groningen;Garmerwolde
 00141503~Groningen;Thesinge
 00141504~Groningen;Sint Annen
 00141505~Groningen;Buitengebied Ten Boer-Noord
 00141506~Groningen;Bedrijventerrein Ten Boer
 00141600~Groningen;Ten Post Dorp
 00141601~Groningen;Lellens
 00141602~Groningen;Woltersum
 00141603~Groningen;Winneweer
 00141604~Groningen;Wittewierum
 00141605~Groningen;Buitengebied Ten Post
 00141700~Groningen;Haren-Centrum
 00141701~Groningen;Haren-Zuidwest
 00141702~Groningen;Haren-Zuidoost
 00141703~Groningen;Haren-Noord
 00141704~Groningen;Essen
 00141705~Groningen;Buitengebied Haren-Noordwest
 00141706~Groningen;Nesciopark
 00141707~Groningen;Paterswoldsemeer
 00141708~Groningen;Buitengebied Haren-Zuidoost
 00141709~Groningen;Wolddeelen
 00141710~Groningen;Buitengebied Haren-Zuidwest
 00141800~Groningen;Oosterhaar
 00141801~Groningen;Tuindorp
 00141802~Groningen;Felland
 00141803~Groningen;Buitengebied Haren-Noordoost
 00141900~Groningen;Glimmen Dorp
 00141901~Groningen;Onnen Dorp
 00141902~Groningen;Noordlaren Dorp
 00141903~Groningen;Buitengebied Glimmen
 00141904~Groningen;Buitengebied Onnen
 00141905~Groningen;Buitengebied Noordlaren
 00141906~Groningen;Zuidlaardermeer
 00141907~Groningen;Noordlaarderbos
 00141908~Groningen;Appelbergen Glimmen
 00141909~Groningen;Appelbergen Onnen
 00340101~Almere;Centrum Haven Noord
 00340102~Almere;Centrum Haven Zuid
 00340201~Almere;Rozenwerf en Tuinderswerf
 00340202~Almere;Achterwerf
 00340203~Almere;Goedewerf en Wittewerf
 00340204~Almere;Schoolwerf
 00340205~Almere;Parkwerf en Stadswerf
 00340301~Almere;Buitenhof en Groenhof
 00340302~Almere;Middenhof en Uithof
 00340303~Almere;Binnenhof en Langshof (met Nieuwstraat)
 00340304~Almere;Park Uithof
 00340401~Almere;Jaagmeent en Grasmeent
 00340402~Almere;Schapenmeent en Terpmeent
 00340403~Almere;Rietmeent en Dijkmeent
 00340501~Almere;Klavergriend, Klippriend en Wilgengriend
 00340502~Almere;Kolkgriend en Oostgriend
 00340503~Almere;Kadegriend en Overgriend
 00340504~Almere;Bosgebied De Grienden
 00340601~Almere;Hofmark, Redemark en Sportmark
 00340602~Almere;Ambachtsmark, Vrijmark en Zuidmark
 00340603~Almere;Brugmark, Noordmark en Gildemark
 00340604~Almere;Sportpark De Marken
 00340605~Almere;Splittershoek
 00340606~Almere;Vliegerpark
 00340701~Almere;Lindengouw, Muidergouw en Peppengouw
 00340702~Almere;Kromgouw en Overgouw
 00340703~Almere;Bosgouw, Brongouw en Nijvergouw
 00340704~Almere;Bedrijventerrein De Paal
 00340801~Almere;Kornwierde en Leemwierde
 00340802~Almere;Keiwierde en Oldewierde
 00340803~Almere;Hoekwierde, Kimwierde en Zandwierde
 00340901~Almere;De Velden Noord
 00340902~Almere;De Velden Zuid
 00341001~Almere;Overgooi (brt)
 00341002~Almere;Waterlandse Tuinen, Windhoek en Schapenb
 00341003~Almere;Cirkelbos
 00341101~Almere;De Laren Noord
 00341102~Almere;De Laren Zuid
 00341401~Almere;De Steiger (brt)
 00341501~Almere;Stichtsekant (brt)
 00341601~Almere;Overig Almere Haven Oost
 00341602~Almere;Overig Almere Haven West
 00341701~Almere;Centrum Stad Noord
 00341702~Almere;Centrum Stad Oost
 00341703~Almere;Centrum Stad Zuidoost
 00341704~Almere;Centrum Stad Zuidwest
 00341705~Almere;Centrum Stad West
 00341801~Almere;Filmwijk Noord
 00341802~Almere;Filmwijk Bouwrai Noord
 00341803~Almere;Filmwijk Bouwrai Zuid
 00341804~Almere;Filmwijk Midden
 00341805~Almere;Filmwijk Zuid-noord van Walt Disneyplts.
 00341806~Almere;Filmwijk Zuid-zuid van Walt Disneyplts.
 00341807~Almere;Lumièrepark
 00341808~Almere;Laterna Magikapark
 00341901~Almere;Danswijk Noordwest
 00341902~Almere;Danswijk Noordoost
 00341903~Almere;Danswijk Zuidoost
 00341904~Almere;Danswijk Zuidwest
 00342001~Almere;Parkwijk Noordwest
 00342002~Almere;Parkwijk Noordoost
 00342003~Almere;Parkwijk Zuidoost
 00342004~Almere;Parkwijk Zuidwest
 00342005~Almere;Ebenezer Howardpark
 00342101~Almere;Verzetswijk Oost
 00342102~Almere;Verzetswijk West
 00342103~Almere;Hannie Schaftpark/Bos der Onverzettelijk
 00342201~Almere;Waterwijk Noord
 00342202~Almere;Waterwijk Oost
 00342203~Almere;Waterwijk Zuid
 00342204~Almere;Waterwijk Midden
 00342205~Almere;Waterwijk West
 00342206~Almere;Bedrijventerrein Gietersplaats
 00342301~Almere;Tussen de Vaarten N.- Noord
 00342302~Almere;Tussen de Vaarten N.- Oost
 00342303~Almere;Tussen de Vaarten N.- West
 00342304~Almere;Sportpark Fanny Blankers Koen
 00342401~Almere;Tussen de Vaarten Z.- Noordwest
 00342402~Almere;Tussen de Vaarten Z.- Noordoost
 00342403~Almere;Tussen de Vaarten Z.- Midden oost
 00342404~Almere;Tussen de Vaarten Z.- Zuidoost
 00342405~Almere;Tussen de Vaarten Z.- Zuidwest
 00342406~Almere;Tussen de Vaarten Z.- Midden west
 00342407~Almere;Bedrijventerrein Het Atelier
 00342408~Almere;Sallandsebos
 00342501~Almere;Staatsliedenwijk Oost
 00342502~Almere;Staatsliedenwijk Midden
 00342503~Almere;Staatsliedenwijk West
 00342601~Almere;Kruidenwijk Noordwest
 00342602~Almere;Kruidenwijk Noord- midden
 00342603~Almere;Kruidenwijk Noordoost
 00342604~Almere;Kruidenwijk Midden-oost
 00342605~Almere;Kruidenwijk Zuid
 00342606~Almere;Kruidenwijk Midden-west
 00342607~Almere;Bedrijventerrein Frezersplaats
 00342608~Almere;Rie Mastenbroeksportpark
 00342609~Almere;Koningin Beatrixpark
 00342701~Almere;Stedenwijk Noord
 00342702~Almere;Stedenwijk Midden-noord
 00342703~Almere;Stedenwijk Midden-oost
 00342704~Almere;Stedenwijk Zuid
 00342705~Almere;Stedenwijk Midden-west
 00342706~Almere;Bedrijvensterrein Draaiersplaats
 00342707~Almere;De Korver Sportpark en Annapark
 00342708~Almere;Dr J.M. den Uylpark
 00342801~Almere;Muziekwijk N.-Noordwest
 00342802~Almere;Muziekwijk N.-Noord
 00342803~Almere;Muziekwijk N.-Noordoost
 00342804~Almere;Muziekwijk N.-Midden
 00342805~Almere;Muziekwijk N.-Oost
 00342806~Almere;Muziekwijk N.-Zuidoost
 00342807~Almere;Muziekwijk N.-Zuidwest
 00342808~Almere;Muziekwijk N.-West
 00342809~Almere;Bedrijventerrein Josephine Bakerstraat
 00342810~Almere;Klein Brandt Sportpark
 00342901~Almere;Muziekwijk Z.-Noord
 00342902~Almere;Muziekwijk Z.-Oost
 00342903~Almere;Muziekwijk Z.-West
 00342904~Almere;Bedrijventerrein Felsersplaats
 00343001~Almere;Literatuurwijk Noordwest
 00343002~Almere;Literatuurwijk Noordoost
 00343003~Almere;Literatuurwijk Midden-oost
 00343004~Almere;Literatuurwijk Zuid
 00343005~Almere;Literatuurwijk Midden-west
 00343006~Almere;Bedrijventerrein De Binderij
 00343007~Almere;Bedrijventerrein De Uitgeverij
 00343101~Almere;Noorderplassen Oost
 00343102~Almere;Noorderplassen W.- Noord
 00343103~Almere;Noorderplassen W.-Oost
 00343104~Almere;Noorderplassen W.-Zuid
 00343105~Almere;Noorderplassen W.-West
 00343201~Almere;Hortus (brt)
 00343401~Almere;Randstad Oost
 00343402~Almere;Randstad Zuid
 00343403~Almere;Randstad West
 00343501~Almere;Markerkant Noord
 00343502~Almere;Markerkant Zuid
 00343601~Almere;Hollandsekant (brt)
 00343701~Almere;Gooisekant Oost
 00343702~Almere;Gooisekant West
 00343801~Almere;Veluwsekant Oost
 00343802~Almere;Veluwsekant West
 00343901~Almere;Sallandsekant Noordoost
 00343902~Almere;Sallandsekant Zuidoost
 00343903~Almere;Sallandsekant Zuidwest
 00344001~Almere;Overig Almere Stad Noord
 00344002~Almere;Overig Almere Stad Zuid
 00344003~Almere;Overig Almere Stad West
 00344101~Almere;Centrum Almere Buiten Noord
 00344102~Almere;Centrum Almere Buiten Zuid
 00344201~Almere;Oostvaardersbuurt Noord
 00344202~Almere;Oostvaardersbuurt Oost
 00344203~Almere;Oostvaardersbuurt West
 00344204~Almere;Oostrandpark West
 00344301~Almere;Seizoenenbuurt Noord
 00344302~Almere;Seizoenenbuurt Oost
 00344303~Almere;Seizoenenbuurt West
 00344304~Almere;Meridiaanpark Noord en Bosrand
 00344401~Almere;Molenbuurt Oost
 00344402~Almere;Molenbuurt West
 00344403~Almere;Bedrijventerrein Molenbuurt
 00344501~Almere;Bouwmeesterbuurt Noord
 00344502~Almere;Bouwmeesterbuurt Oost
 00344503~Almere;Bouwmeesterbuurt West
 00344504~Almere;Bedrijventerrein Bouwmeesterbuurt
 00344505~Almere;Sportpark Polderkwartier en Polderpark
 00344601~Almere;Landgoederenbuurt Noord
 00344602~Almere;Landgoederenbuurt Oost
 00344603~Almere;Landgoederenbuurt Zuid en West
 00344701~Almere;Faunabuurt Noord
 00344702~Almere;Faunabuurt Zuidoost
 00344703~Almere;Faunabuurt Zuidwest
 00344704~Almere;Bedrijventerrein Faunabuurt
 00344801~Almere;Bloemenbuurt Noord
 00344802~Almere;Bloemenbuurt Oost
 00344803~Almere;Bloemenbuurt Zuid
 00344804~Almere;Bloemenbuurt West
